Date,Name,Marketplace,Status
6-Mar-21,Collapsible laundry basket,Amazon UK,Rejected (Permanently)
6-Mar-21,silicon toilet brush and holder,Amazon UK,Rejected (Permanently)
6-Mar-21,latex gloves,Amazon UK,Rejected (Permanently)
5-Mar-21,packaging tape,Amazon UK,Rejected (Permanently)
5-Mar-21,yoga mat,Amazon UK,Rejected (Permanently)
4-Mar-21,Abdominal Exercise Roller,Amazon UK,Rejected (Permanently)
4-Mar-21,ice grips for shoes,Amazon UK,Rejected (Permanently)
3-Mar-21,Vegetable peeler,Amazon UK,Rejected (Permanently)
2-Mar-21,Garden waste bags,Amazon UK,Rejected (Permanently)
2-Mar-21,screw hooks,Amazon UK,Rejected (Permanently)
2-Mar-21,Wire Brush,Amazon UK,Rejected (Permanently)
1-Mar-21,Dog pool,Amazon UK,Rejected (Permanently)
27-Feb-21,piping bags and nozzles,Amazon UK,Rejected (Permanently)
27-Feb-21,Potato growing bags,Amazon UK,Rejected (Permanently)
25-Feb-21,reed diffuser,Amazon UK,Rejected (Permanently)
25-Feb-21,Training lead for dogs,Amazon UK,Rejected (Permanently)
23-Feb-21,kids chopsticks,Amazon UK,Rejected (Permanently)
22-Feb-21,suit cover,Amazon UK,Rejected (Permanently)
21-Feb-21,drawer organiser,Amazon UK,Rejected (Permanently)
12-Jun-21,plasterboard fixing,Amazon UK,Rejected (Permanently)
11-Jun-21,Bbq tongs,Amazon UK,Rejected (Permanently)
11-Jun-21,Disposable Cutlery,Amazon UK,Rejected (Permanently)
11-Jun-21,Alphabet Resin Mold,Amazon UK,Rejected (Permanently)
11-Jun-21,lint roller,Amazon UK,Rejected (Permanently)
11-Jun-21,Door Lock,Amazon UK,Rejected (Permanently)
10-Jun-21,Book Ends,Amazon UK,Rejected (Permanently)
10-Jun-21,a3 sketchbook,Amazon UK,Rejected (Permanently)
9-Jun-21,Ab roller,Amazon UK,Rejected (Permanently)
9-Jun-21,acrylic nail brush,Amazon UK,Rejected (Permanently)
8-Jun-21,acupressure mat,Amazon UK,Rejected (Permanently)
